YEAR,Car_Age,MILEAGE,CAR_PRICE
2010,13,144000,20000
2019,0,61523,30928
2021,2,27450,54000
2021,2,4200,63000
2020,3,43045,34999
2017,6,71366,36999
2020,3,67716,31900
2016,7,71243,23500
2017,6,55000,32500
2021,2,72465,34995
